feature,importance,importance_pct
f_204,0.002342826,0.002342826
f_214,0.0023360283,0.0023360283
f_25,0.002278533,0.002278533
f_220,0.0022611201,0.0022611201
f_152,0.002184479,0.002184479
f_5,0.0021578767,0.0021578767
f_221,0.0021144378,0.0021144378
f_42,0.00211058,0.00211058
f_250,0.002102517,0.002102517
f_182,0.0020799923,0.0020799923
f_176,0.0020792356,0.0020792356
f_187,0.0019142268,0.0019142268
f_209,0.0018959839,0.0018959839
f_180,0.0018890845,0.0018890845
f_147,0.0018319545,0.0018319545
f_153,0.0018212978,0.0018212978
f_41,0.0018169326,0.0018169326
f_185,0.0017800792,0.0017800792
f_8,0.0017403779,0.0017403779
f_236,0.0017291007,0.0017291007
f_13,0.0016171254,0.0016171254
f_188,0.0015620517,0.0015620517
f_77,0.0015522084,0.0015522084
f_197,0.0011476293,0.0011476293
f_18,0.001111249,0.001111249
f_104,0.00077342236,0.00077342236
f_189,0.0006944758,0.0006944758
f_192,0.0,0.0
f_279,0.0,0.0
f_278,0.0,0.0
f_277,0.0,0.0
f_28,0.0,0.0
f_190,0.0,0.0
f_140,0.0,0.0
f_273,0.0,0.0
f_86,0.0,0.0
f_271,0.0,0.0
f_87,0.0,0.0
f_88,0.0,0.0
f_191,0.0,0.0
f_126,0.0,0.0
f_39,0.0,0.0
f_284,0.0,0.0
f_267,0.0,0.0
f_287,0.0,0.0
f_288,0.0,0.0
f_291,0.0,0.0
f_292,0.0,0.0
f_293,0.0,0.0
f_40,0.0,0.0
f_183,0.0,0.0
f_168,0.0,0.0
f_169,0.0,0.0
f_298,0.0,0.0
f_285,0.0,0.0
f_90,0.0,0.0
f_130,0.0,0.0
f_91,0.0,0.0
f_106,0.0,0.0
f_170,0.0,0.0
f_132,0.0,0.0
f_238,0.0,0.0
f_240,0.0,0.0
f_241,0.0,0.0
f_101,0.0,0.0
f_133,0.0,0.0
f_244,0.0,0.0
f_245,0.0,0.0
f_246,0.0,0.0
f_247,0.0,0.0
f_248,0.0,0.0
f_249,0.0,0.0
f_135,0.0,0.0
f_136,0.0,0.0
f_97,0.0,0.0
f_96,0.0,0.0
f_94,0.0,0.0
f_255,0.0,0.0
f_256,0.0,0.0
f_93,0.0,0.0
f_139,0.0,0.0
f_210,0.0,0.0
f_260,0.0,0.0
f_261,0.0,0.0
f_7,0.0,0.0
f_263,0.0,0.0
f_264,0.0,0.0
f_171,0.0,0.0
